Country,Year,AvgTemp_Country,co2,co2_per_capita
Egypt,1971,21.730504385964913,22.977,0.648
Egypt,1984,21.757833333333334,62.942,1.278
Algeria,1976,16.986366666666665,39.068,2.381
Portugal,1969,14.520511904761904,14.593,1.667
Portugal,1985,15.19564285714286,27.133,2.719
Italy,1991,12.737686507936507,437.742,7.67
Philippines,1980,26.918466666666657,36.837,0.767
Madagascar,1962,22.161624999999997,0.396,0.073
Madagascar,1998,23.108041666666665,1.619,0.105
Madagascar,2008,22.65736111111111,1.787,0.085
Chile,1966,11.71721875,18.772,2.045
Belgium,2009,10.859464285714283,107.807,9.97
Romania,1972,9.411643333333338,132.208,6.432
Peru,1961,16.872348484848484,8.634,0.824
Peru,1991,17.316188461538463,20.758,0.923
Peru,1994,17.314200757575755,24.177,1.012
Colombia,2006,23.423467948717942,62.466,1.463
Tanzania,1993,23.00758201058201,2.426,0.086
Paraguay,1968,23.101183333333335,0.59,0.258
Greece,1986,16.752880952380952,58.275,5.776
New Zealand,2008,13.707,37.485,8.796
Cameroon,1962,24.64627222222222,0.289,0.054
Cameroon,1996,24.992050000000003,5.975,0.445
Cameroon,1997,25.037721590909097,5.379,0.39
Iraq,2006,21.043562499999997,98.838,3.454
Afghanistan,1967,13.41471875,1.282,0.122
Afghanistan,1991,14.978966666666667,1.914,0.156
Argentina,1977,17.73409375,100.729,3.772
Argentina,2011,17.624329842931935,189.884,4.55
Moldova,1982,9.205666666666666,36.36,8.804
Thailand,1963,26.83801984126984,5.564,0.19
Thailand,1968,27.096138888888888,17.083,0.502
Thailand,1985,26.98532936507936,47.865,0.952
Central African Republic,1989,25.19263636363636,0.249,0.089
Central African Republic,2002,25.437750000000005,0.117,0.029
Switzerland,1962,7.020383333333334,24.135,4.33
Equatorial Guinea,1960,25.385416666666668,0.022,0.081
Equatorial Guinea,1973,25.65825,0.029,0.097
Cuba,2012,26.281005988023953,29.476,2.608
Serbia,1987,10.152930555555558,56.298,7.14
Serbia,2004,10.541972222222224,52.942,6.998
Norway,1969,3.4853125000000005,22.194,5.769
Norway,1977,3.569770833333333,33.309,8.238
Norway,1989,5.20575,34.148,8.079
Poland,1994,9.19579166666667,359.991,9.388
Ukraine,1979,8.449371527777778,648.771,13.048
Ukraine,1983,9.134649305555557,683.29,13.494
Ukraine,2008,9.711416666666667,325.983,6.963
Malawi,1960,21.366,0.438,0.121
Malawi,1980,21.587708333333335,0.71,0.113
Slovakia,1960,9.205625,31.648,7.673
Slovakia,1990,9.887666666666666,61.529,11.684
Slovakia,2002,10.323916666666667,42.034,7.816
Slovakia,2007,10.694208333333334,41.032,7.631
Belarus,2006,7.263312499999999,61.809,6.433
Hungary,1971,10.111222222222224,69.247,6.694
Hungary,2004,10.423398148148149,59.985,5.947
Burundi,1979,21.07791666666667,0.11,0.026
Zimbabwe,1987,21.026357142857144,15.17,1.634
Zimbabwe,1989,20.1589880952381,16.114,1.633
Bulgaria,1964,10.435404761904762,42.818,5.26
Bulgaria,1965,10.371845238095236,46.269,5.641
Bulgaria,1993,10.727619047619047,58.389,6.896
Nicaragua,1998,28.26183333333334,3.386,0.693
Honduras,2009,24.827683333333333,8.03,0.981
Taiwan,1998,23.180438888888887,200.546,9.095
Bolivia,1960,11.569159420289854,1.004,0.271
Bolivia,1978,11.564055555555557,5.021,0.912
Ireland,1966,9.376291666666669,15.095,5.225
Ireland,2013,9.824375,37.279,8.061
Senegal,2008,26.85201041666667,4.74,0.393
Latvia,2007,7.34175,8.637,3.925
Qatar,1968,26.763083333333338,7.075,77.104
Qatar,1999,28.622249999999998,36.325,59.305
Albania,1990,16.371083333333335,5.521,1.684
Guatemala,1998,20.364916666666673,8.62,0.774
Finland,2012,4.4504166666666665,51.154,9.449
Sierra Leone,2012,26.298809523809524,0.832,0.127
Sweden,1961,6.924033333333333,48.803,6.49
Botswana,1975,18.803833333333333,0.187,0.259
Botswana,1994,19.262666666666664,3.03,2.075
Guyana,1982,26.89708333333333,1.403,1.807
Guyana,1985,26.61333333333333,1.418,1.838
Austria,1979,6.484100000000001,61.347,8.127
Austria,1992,7.698133333333334,60.291,7.688
Uganda,1964,23.76619444444445,0.491,0.057
Uganda,1989,23.91355555555556,0.804,0.047
Armenia,2003,9.195916666666667,3.456,1.137
Djibouti,2001,29.812916666666666,0.366,0.475
Sudan,1988,28.393800000000002,4.443,0.21
Togo,2001,27.168874999999996,1.159,0.22
Gabon,1976,25.58758333333334,5.704,8.417
Gabon,2007,26.74908695652174,5.038,3.237
Gabon,2010,26.814833333333336,5.528,3.214
Slovenia,2005,9.618250000000002,16.942,8.484
Slovenia,2010,10.000333333333332,16.466,8.053
Bahrain,2000,26.990833333333327,19.199,28.673
Lesotho,1990,14.476583333333336,1.473,0.814
Uruguay,1995,17.879708333333337,4.565,1.431
Chad,1992,26.78865217391305,0.403,0.062
Chad,2004,28.302136363636365,0.906,0.091
Mauritania,1976,26.572166666666664,0.517,0.393
Panama,1965,26.935083333333335,2.124,1.623
Panama,1999,26.843583333333328,5.552,1.881
Suriname,1973,26.70358333333333,2.107,5.323
Suriname,1990,26.874,1.738,4.214
Cambodia,1987,27.647000000000002,0.436,0.066
Montenegro,2004,10.8275,2.034,3.21
Mauritius,1968,23.197666666666667,0.638,0.798
Papua New Guinea,1974,24.960166666666666,1.587,0.576
Iceland,1967,1.0936666666666666,1.443,7.259
